楼盘名称,房价(元/平方米),楼盘位置,建成年份,附近地铁站
君临天下,22986,武昌/徐东,2006年建成,近地铁8号线徐东站
星海虹城3期鸿玺公馆,18225,武昌/中南丁字桥,2015年建成,近地铁2号线小龟山站
恒庆花园,21319,武昌/杨园,2003年建成,无地铁
百瑞景中央生活区四期,30989,武昌/中南丁字桥,2015年建成,近地铁2号线宝通寺站
楚汉新居,暂无,武昌/中北路,2014年建成,近地铁4号线青鱼嘴站
东沙大厦,暂无,武昌/中北路,2004年建成,近地铁4号线青鱼嘴站
十亩地小区,21344,武昌/中北路,1995年建成,近地铁4号线青鱼嘴站
万源昌,17145,武昌/积玉桥,1999年建成,近地铁2号线积玉桥站
东湖中学宿舍,20652,武昌/东湖东亭,1998年建成,近地铁4号线岳家嘴站
武铁余家头小区,18582,武昌/杨园,2001年建成,无地铁
万科朗苑,27105,武昌/徐东,2008年建成,近地铁8号线徐东站
中建广场,20412,武昌/中南丁字桥,2006年建成,近地铁2号线中南路站
中建三局,暂无,武昌/武昌火车站,1988年建成,近地铁4号线梅苑小区站
新南方小区,19712,武昌/中南丁字桥,2000年建成,近地铁2号线中南路站
武汉恒大首府三期,22608,武昌/积玉桥,2014年建成,无地铁
星海虹城一期,30285,武昌/楚河汉街,2006年建成,近地铁2号线小龟山站
华润置地公馆,29187,武昌/中南丁字桥,2012年建成,近地铁2号线中南路站
北环路小区,暂无,武昌/水果湖,1992年建成,近地铁2号线洪山广场站
津津花园,29150,武昌/水果湖,2000年建成,近地铁4号线楚河汉街站
中商广场写字楼,暂无,武昌/中南丁字桥,2005年建成,近地铁2号线中南路站
武昌公安宿舍,19020,武昌/积玉桥,2002年建成,近地铁2号线螃蟹岬站
鸿岭花园西区,13739,武昌/中南丁字桥,2015年建成,无地铁
都府堤社区,14768,武昌/首义,未知年建成,无地铁
武汉生物研究所宿舍,暂无,武昌/首义,2000年建成,无地铁
水利厅宿舍,34645,武昌/中南丁字桥,2000年建成,近地铁2号线中南路站
黄鹤楼小区,11180,武昌/首义,1990年建成,无地铁
天永公寓,28978,武昌/水果湖,2006年建成,近地铁4号线楚河汉街站
畜牧局宿舍,17529,武昌/武昌火车站,1986年建成,近地铁4号线梅苑小区站
东湖路80号,暂无,武昌/水果湖,未知年建成,近地铁4号线楚河汉街站
东湖路82号,暂无,武昌/水果湖,1998年建成,近地铁4号线楚河汉街站
中南一路燃料宿舍,28526,武昌/中南丁字桥,2000年建成,近地铁2号线中南路站
美颂雅庭,18163,武昌/积玉桥,未知年建成,近地铁2号线螃蟹岬站
文翰苑,暂无,武昌/中南丁字桥,未知年建成,无地铁
珞珈山大厦,16136,武昌/中南丁字桥,2000年建成,近地铁2号线街道口站
湖北省水产科学研究所宿舍,31755,武昌/水果湖,未知年建成,近地铁4号线楚河汉街站
湖北经济学院宿舍,暂无,武昌/东湖东亭,1997年建成,近地铁4号线岳家嘴站
湖北省体育局小龟山居民区,21742,武昌/中南丁字桥,2000年建成,无地铁
长城汇,28663,武昌/楚河汉街,2016年建成,无地铁
九龙井小区,17176,武昌/首义,1996年建成,近地铁4号线复兴路站
鸿华花园小区,20326,武昌/积玉桥,未知年建成,无地铁
中南路休养所,17822,武昌/中南丁字桥,未知年建成,近地铁2号线洪山广场站
省农垦局中山路宿舍,20086,武昌/积玉桥,1997年建成,近地铁2号线积玉桥站
秀水公寓,30464,武昌/水果湖,2006年建成,无地铁
财政厅宿舍,28491,武昌/水果湖,2002年建成,近地铁2号线洪山广场站
临江大道51号,22469,武昌/首义,未知年建成,无地铁
电信局宿舍,22887,武昌/积玉桥,未知年建成,近地铁2号线螃蟹岬站
紫晋公寓,19248,武昌/积玉桥,1999年建成,近地铁2号线螃蟹岬站
五棉宿舍,16666,武昌/积玉桥,未知年建成,无地铁
恒大首府世纪广场,暂无,武昌/积玉桥,未知年建成,无地铁
洪山侧路18号,32287,武昌/水果湖,未知年建成,近地铁2号线洪山广场站
怡海大厦,15577,武昌/积玉桥,未知年建成,无地铁
龙凯大厦,26860,武昌/杨园,未知年建成,无地铁
小洪山东区,23028,武昌/水果湖,未知年建成,无地铁
华师一附中宿舍,18327,武昌/首义,2000年建成,近地铁4号线武昌火车站站
湖北省物资厅宿舍,暂无,武昌/水果湖,未知年建成,无地铁
街道口市政宿舍,18119,武昌/中南丁字桥,未知年建成,近地铁2号线街道口站
高知公寓,32850,武昌/水果湖,2001年建成,近地铁2号线洪山广场站
宏城金都,30667,武昌/水果湖,2008年建成,无地铁
梅山公寓,暂无,武昌/白沙洲,未知年建成,近地铁4号线首义路站
首义路47号,暂无,武昌/首义,未知年建成,近地铁4号线首义路站
东三路15号,40968,武昌/水果湖,1998年建成,无地铁
紫阳东路8号,18211,武昌/武昌火车站,未知年建成,近地铁4号线梅苑小区站
法院宿舍,20161,武昌/积玉桥,未知年建成,近地铁2号线螃蟹岬站
水果湖17附2号,30015,武昌/水果湖,未知年建成,无地铁
世纪新南门,暂无,武昌/白沙洲,未知年建成,无地铁
向阳佳苑B区,暂无,武昌/中南丁字桥,未知年建成,无地铁
东一路24号,暂无,武昌/水果湖,未知年建成,无地铁
湖北省财政厅宿舍,暂无,武昌/中北路,2000年建成,无地铁
水果湖横路8号,暂无,武昌/水果湖,未知年建成,无地铁
农业银行宿舍,19643,武昌/中北路,未知年建成,无地铁
艺术研究院宿舍,14480,武昌/首义,未知年建成,近地铁4号线首义路站
东湖路65号,暂无,武昌/水果湖,未知年建成,无地铁
铁机路140到148号,暂无,武昌/杨园,未知年建成,无地铁
下新河小区,暂无,武昌/积玉桥,未知年建成,无地铁
洪山中学宿舍,20897,武昌/中南丁字桥,未知年建成,近地铁2号线街道口站
东湖路65号,暂无,武昌/水果湖,未知年建成,无地铁
民主一路7号,14814,武昌/中南丁字桥,未知年建成,近地铁2号线螃蟹岬站
九亩地,17151,武昌/徐东,2005年建成,无地铁
铁机路140到148号,暂无,武昌/杨园,未知年建成,无地铁
下新河小区,暂无,武昌/积玉桥,未知年建成,无地铁
舒家街78号,18466,武昌/中南丁字桥,未知年建成,近地铁2号线中南路站
省审计厅刘家湾宿舍,35831,武昌/水果湖,未知年建成,无地铁
武珞路七巷,暂无,武昌/武昌火车站,未知年建成,无地铁
临江大道389号,暂无,武昌/积玉桥,未知年建成,无地铁
棋盘街26号,18408,武昌/积玉桥,未知年建成,近地铁2号线螃蟹岬站
湖北省油脂公司住宅区,21990,武昌/中南丁字桥,未知年建成,近地铁2号线宝通寺站
民主路民主二路71号,暂无,武昌/中南丁字桥,未知年建成,无地铁
鸿翔巷,19365,武昌/首义,2000年建成,无地铁
洪山村休养所,暂无,武昌/中南丁字桥,未知年建成,无地铁
青年路18号,暂无,武昌/水果湖,未知年建成,无地铁
水果湖路254号,暂无,武昌/水果湖,未知年建成,无地铁
和平大道81-83号,23274,武昌/积玉桥,未知年建成,近地铁2号线积玉桥站
首义路270号,暂无,武昌/首义,未知年建成,近地铁4号线首义路站
特一号花园,暂无,武昌/首义,未知年建成,无地铁
群建星城,暂无,武昌/中南丁字桥,未知年建成,无地铁
湖北省信息产业厅,暂无,武昌/首义,未知年建成,无地铁
知音大厦,暂无,武昌/水果湖,2000年建成,近地铁4号线楚河汉街站
地税局宿舍,暂无,武昌/水果湖,未知年建成,无地铁
中南财大首义宿舍,暂无,武昌/首义,未知年建成,无地铁
701研究所宿舍,暂无,武昌/首义,未知年建成,近地铁4号线首义路站
武珞路296号,暂无,武昌/武昌火车站,未知年建成,近地铁4号线武昌火车站站
老车站路96到100号,暂无,武昌/武昌火车站,未知年建成,无地铁
吉祥人家,暂无,武昌/武昌火车站,未知年建成,无地铁
教育局宿舍,暂无,武昌/水果湖,未知年建成,无地铁
徐东安居住宅小区,暂无,武昌/徐东,未知年建成,近地铁8号线徐东站
农商行小区,暂无,武昌/水果湖,未知年建成,无地铁
华新里小区,暂无,武昌/积玉桥,未知年建成,无地铁
湖北大学二区,暂无,武昌/沙湖,未知年建成,无地铁
审计署驻武汉特派员办事处,暂无,武昌/街道口,未知年建成,无地铁
湖北大学五区,暂无,武昌/沙湖,未知年建成,无地铁
武汉大学九区,暂无,武昌/街道口,未知年建成,无地铁
首义三巷16号,暂无,武昌/首义,未知年建成,无地铁
创业楼,暂无,武昌/中南丁字桥,未知年建成,无地铁
人民医院宿舍,暂无,武昌/首义,未知年建成,近地铁4号线复兴路站
水果湖路55号,暂无,武昌/水果湖,未知年建成,无地铁
洪山侧路57号,暂无,武昌/水果湖,未知年建成,无地铁
洪山路43号,暂无,武昌/水果湖,未知年建成,无地铁
四美塘社区,暂无,武昌/徐东,未知年建成,无地铁
财政厅家属院,暂无,武昌/水果湖,未知年建成,无地铁
洪山公寓,暂无,武昌/中南丁字桥,未知年建成,无地铁
水陆街25号,暂无,武昌/首义,未知年建成,近地铁4号线复兴路站
天宇合汇佳苑,暂无,武昌/白沙洲,未知年建成,无地铁
柏曼酒店,暂无,武昌/首义,未知年建成,无地铁
晒湖小区,16518,武昌/武昌火车站,1989年建成,无地铁
梅苑小区,暂无,武昌/武昌火车站,1994年建成,近地铁1号线五环大道站
四美新村,19616,武昌/徐东,2000年建成,无地铁
城市印象,18240,武昌/武昌火车站,2005年建成,无地铁
莲溪寺南村铁路小区,17576,武昌/武昌火车站,2001年建成,无地铁
统建锦绣江南,27819,武昌/中北路,2008年建成,近地铁4号线青鱼嘴站
德安苑园小区,15820,武昌/杨园,2006年建成,无地铁
锦绣家园,19637,武昌/杨园,2007年建成,无地铁
和平街铁机东区,17167,武昌/杨园,1992年建成,无地铁
喻家湖社区,19414,武昌/沙湖,1995年建成,无地铁
华城广场,21184,武昌/杨园,2003年建成,无地铁
杨园街纺器社区,19016,武昌/杨园,1999年建成,无地铁
才华茗苑,22810,武昌/徐东,2007年建成,近地铁8号线徐家棚站
中北路武重姚家岭1到100号,暂无,武昌/楚河汉街,未知年建成,近地铁2号线洪山广场站
东亭,20825,武昌/中北路,1998年建成,近地铁4号线东亭站
东沙公寓,26932,武昌/中北路,2013年建成,近地铁4号线青鱼嘴站
都景园小区,19182,武昌/首义,2002年建成,无地铁
解放路516号,暂无,武昌/首义,未知年建成,近地铁2号线积玉桥站
金夏银座,暂无,武昌/首义,2004年建成,无地铁
西城壕社区,15592,武昌/首义,2000年建成,近地铁2号线积玉桥站
楚天都市花园,19872,武昌/楚河汉街,2001年建成,近地铁2号线洪山广场站
中北路29号,暂无,武昌/楚河汉街,2000年建成,近地铁2号线洪山广场站
都府堤76号,暂无,武昌/首义,未知年建成,无地铁
白鳍豚大厦,15928,武昌/白沙洲,2004年建成,无地铁
堤东街,暂无,武昌/白沙洲,1996年建成,无地铁
汇文新都B区,暂无,武昌/白沙洲,2004年建成,近地铁4号线复兴路站
岭地金居,25654,武昌/中南丁字桥,2012年建成,近地铁2号线宝通寺站
石牌岭路82号,19967,武昌/中南丁字桥,1991年建成,近地铁2号线宝通寺站
解放桥1到5号,暂无,武昌/首义,未知年建成,近地铁4号线复兴路站
祥云山庄,暂无,武昌/积玉桥,1998年建成,无地铁
南大门小区,15529,武昌/白沙洲,1992年建成,无地铁
望江公寓,暂无,武昌/首义,2000年建成,无地铁
中山路,暂无,武昌/白沙洲,1998年建成,近地铁4号线武昌火车站站
中山路488号,15119,武昌/白沙洲,未知年建成,无地铁
忠孝门23号,暂无,武昌/积玉桥,1992年建成,无地铁
洪山坊社区,20674,武昌/中南丁字桥,1993年建成,近地铁2号线中南路站
中南龙庭,22494,武昌/中南丁字桥,2008年建成,近地铁2号线中南路站
政通体苑,暂无,武昌/首义,1998年建成,无地铁
新世纪花园C区,21208,武昌/杨园,2000年建成,近地铁8号线汪家墩站
新世纪花园C区,21208,武昌/杨园,2000年建成,近地铁8号线汪家墩站
政通体苑,暂无,武昌/首义,1998年建成,无地铁
金都汉宫,42189,武昌/积玉桥,2009年建成,近地铁2号线积玉桥站
洪山坊社区,20674,武昌/中南丁字桥,1993年建成,近地铁2号线中南路站
中南龙庭,22494,武昌/中南丁字桥,2008年建成,近地铁2号线中南路站
紫荆花苑,16865,武昌/中南丁字桥,2005年建成,近地铁2号线小龟山站
中南宿舍,18885,武昌/团结大道,1997年建成,近地铁8号线汪家墩站
万科金域华府,26063,武昌/杨园,2010年建成,无地铁
爱尚东亭,27927,武昌/沙湖,2008年建成,近地铁4号线东亭站
逸居苑,19184,武昌/徐东,2000年建成,近地铁8号线徐东站
新新花园,21331,武昌/徐东,1995年建成,近地铁8号线徐东站
梅苑小区一期,20498,武昌/武昌火车站,1994年建成,近地铁4号线梅苑小区站
南方帝园,22635,武昌/中南丁字桥,2004年建成,近地铁2号线宝通寺站
滨湖名都城,16458,武昌/中南丁字桥,2000年建成,近地铁2号线宝通寺站
中南国际城,23009,武昌/武昌火车站,2007年建成,近地铁2号线中南路站
保利才盛景苑,24683,武昌/杨园,2011年建成,无地铁
绿地国际金融城,暂无,武昌/积玉桥,2015年建成,无地铁
友谊国际百老汇,28594,武昌/积玉桥,2008年建成,近地铁2号线积玉桥站
友谊国际沙湖苑,25309,武昌/积玉桥,2007年建成,近地铁2号线积玉桥站
省文联宿舍,20570,武昌/东湖东亭,1999年建成,近地铁4号线岳家嘴站
东亭干警楼宿舍,22278,武昌/中北路,2001年建成,近地铁4号线东亭站
新华香樟园,24276,武昌/东湖东亭,2007年建成,近地铁8号线梨园站
华天明珠紫阳府,暂无,武昌/首义,2017年建成,近地铁4号线复兴路站
融侨悦府,20897,武昌/杨园,2016年建成,无地铁
星海虹城二期,32535,武昌/楚河汉街,2009年建成,近地铁2号线小龟山站
复地东湖国际七期,暂无,武昌/中北路,2017年建成,近地铁4号线青鱼嘴站
银苑小区,24580,武昌/中北路,2001年建成,无地铁
东湖路60号,暂无,武昌/水果湖,2013年建成,近地铁4号线楚河汉街站
三环集团宿舍,暂无,武昌/武昌火车站,2000年建成,近地铁4号线梅苑小区站
中商宿舍,35955,武昌/中南丁字桥,2004年建成,近地铁2号线中南路站
银海华庭,26346,武昌/水果湖,2003年建成,近地铁2号线洪山广场站
阜华领秀中南,16896,武昌/中南丁字桥,2006年建成,近地铁2号线中南路站
凤凰大厦,21526,武昌/积玉桥,2006年建成,近地铁2号线螃蟹岬站
红岭大厦,30086,武昌/中南丁字桥,1990年建成,近地铁2号线洪山广场站
兆富国际,13292,武昌/中南丁字桥,1998年建成,近地铁2号线街道口站
复地东湖国际六期,39669,武昌/中北路,2015年建成,近地铁4号线青鱼嘴站
武汉亚贸广场,暂无,武昌/中南丁字桥,未知年建成,近地铁2号线宝通寺站
百瑞景中央生活区二期东区,29652,武昌/中南丁字桥,2011年建成,近地铁2号线宝通寺站
东湖路63号,暂无,武昌/水果湖,未知年建成,近地铁4号线楚河汉街站
中南电力设计院第二生活区南苑,暂无,武昌/中南丁字桥,1995年建成,近地铁2号线洪山广场站
同心大厦,暂无,武昌/水果湖,2001年建成,近地铁4号线楚河汉街站
千家鑫苑,暂无,武昌/首义,2000年建成,近地铁4号线武昌火车站站
地基中心宿舍,暂无,武昌/中南丁字桥,未知年建成,近地铁2号线中南路站
电业小区,19826,武昌/积玉桥,1998年建成,近地铁2号线积玉桥站
二十五中教师宿舍,15713,武昌/中南丁字桥,1997年建成,近地铁2号线中南路站
宁馨苑,16221,武昌/中南丁字桥,1999年建成,近地铁2号线洪山广场站
中山路261号,20576,武昌/积玉桥,未知年建成,近地铁2号线螃蟹岬站
三角花园赵家墩,暂无,武昌/积玉桥,2004年建成,无地铁
水果湖横路7号,30642,武昌/水果湖,未知年建成,近地铁2号线洪山广场站
涂家岭南村,14165,武昌/武昌火车站,2000年建成,无地铁
工行江南支行宿舍,暂无,武昌/中南丁字桥,1995年建成,近地铁2号线洪山广场站
张家湾小区,32935,武昌/水果湖,1994年建成,近地铁2号线洪山广场站
同昌花园,18717,武昌/积玉桥,1999年建成,近地铁2号线积玉桥站
洪山侧路53号,34332,武昌/水果湖,未知年建成,无地铁
洪山侧路59号,暂无,武昌/水果湖,未知年建成,无地铁
桂苑小区,暂无,武昌/武昌火车站,未知年建成,无地铁
武大工学部,暂无,武昌/街道口,未知年建成,无地铁
监狱管理局宿舍,20789,武昌/中南丁字桥,1990年建成,近地铁2号线中南路站
洪山路社区,暂无,武昌/水果湖,未知年建成,近地铁2号线洪山广场站
武大工学部,暂无,武昌/街道口,未知年建成,无地铁
监狱管理局宿舍,20789,武昌/中南丁字桥,1990年建成,近地铁2号线中南路站
洪山路社区,暂无,武昌/水果湖,未知年建成,近地铁2号线洪山广场站
洪山侧路55号,暂无,武昌/水果湖,未知年建成,无地铁
前进路117到119号,21937,武昌/积玉桥,未知年建成,近地铁2号线积玉桥站
振兴苑小区,27443,武昌/水果湖,未知年建成,无地铁
湖北省机电研究院宿舍,19323,武昌/中南丁字桥,1994年建成,近地铁2号线宝通寺站
橡树湾二期,32566,武昌/杨园,2013年建成,无地铁
大成路吉祥巷,暂无,武昌/首义,2001年建成,无地铁
双星大厦,暂无,武昌/中南丁字桥,未知年建成,无地铁
育才嘉苑,18172,武昌/首义,2000年建成,近地铁4号线首义路站
水果湖横路1号,33084,武昌/水果湖,未知年建成,近地铁2号线洪山广场站
三角花园柳村小区,暂无,武昌/积玉桥,未知年建成,无地铁
二机宿舍,21654,武昌/首义,未知年建成,无地铁
临江大道56号,暂无,武昌/首义,未知年建成,无地铁
解放路249号,18040,武昌/首义,未知年建成,近地铁4号线复兴路站
新生里社区,20826,武昌/积玉桥,1998年建成,近地铁2号线积玉桥站
新安花园,21811,武昌/沙湖,2003年建成,近地铁4号线青鱼嘴站
歌笛湖社区,暂无,武昌/首义,1996年建成,近地铁4号线复兴路站
中山路189号,暂无,武昌/积玉桥,未知年建成,无地铁
兴华苑小区,暂无,武昌/首义,未知年建成,近地铁4号线复兴路站
付家坡一路1号,20322,武昌/武昌火车站,未知年建成,无地铁
美联首义尚景,21748,武昌/首义,2012年建成,近地铁4号线首义路站
东一路9号,暂无,武昌/水果湖,未知年建成,无地铁
湖北省歌剧舞剧院宿舍,20122,武昌/中南丁字桥,未知年建成,近地铁2号线街道口站
何家珑63号,12495,武昌/中南丁字桥,未知年建成,无地铁
东湖路96号,暂无,武昌/水果湖,未知年建成,无地铁
省农业厅宿舍,23790,武昌/中南丁字桥,未知年建成,无地铁
首义大院,暂无,武昌/首义,未知年建成,近地铁4号线复兴路站
付家坡一路3号,暂无,武昌/武昌火车站,未知年建成,无地铁
博雅中南,暂无,武昌/中南丁字桥,未知年建成,无地铁
工农湾33号,暂无,武昌/中南丁字桥,未知年建成,无地铁
联盟小区,暂无,武昌/杨园,未知年建成,无地铁
佑泉苑小区,暂无,武昌/武昌火车站,未知年建成,无地铁
银海公寓,17521,武昌/武昌火车站,1998年建成,近地铁4号线梅苑小区站
起义街五十五号,14396,武昌/白沙洲,未知年建成,近地铁4号线首义路站
付家坡一路8号,18120,武昌/武昌火车站,未知年建成,无地铁
柴林公寓,16195,武昌/徐东,1999年建成,近地铁8号线徐东站
湖北省审计干部学校职工宿舍,19502,武昌/东湖东亭,未知年建成,无地铁
百合营小区,暂无,武昌/中南丁字桥,未知年建成,无地铁
老车站路155到159号,暂无,武昌/武昌火车站,未知年建成,无地铁
解放路海马巷60号,暂无,武昌/首义,未知年建成,无地铁
六九经贸大厦,暂无,武昌/积玉桥,未知年建成,无地铁
中华路欧式公寓,暂无,武昌/首义,未知年建成,无地铁
民主二路63号,暂无,武昌/中南丁字桥,未知年建成,无地铁
红岭住宅楼,暂无,武昌/楚河汉街,未知年建成,无地铁
千家街105号,19385,武昌/首义,未知年建成,近地铁4号线首义路站
民主路722号,暂无,武昌/中南丁字桥,未知年建成,无地铁
中华路35号,暂无,武昌/首义,未知年建成,无地铁
北环路13号,暂无,武昌/水果湖,未知年建成,近地铁2号线洪山广场站
千家街省一保宿舍,20316,武昌/首义,未知年建成,近地铁4号线首义路站
省幼师教工宿舍,暂无,武昌/中南丁字桥,未知年建成,无地铁
水果湖路252号,暂无,武昌/水果湖,未知年建成,无地铁
首义路85号,暂无,武昌/首义,未知年建成,近地铁4号线首义路站
紫湖村25号,暂无,武昌/首义,未知年建成,无地铁
友谊大道3-11号,暂无,武昌/积玉桥,未知年建成,无地铁
北环路18号、19号、19-1号,33841,武昌/水果湖,未知年建成,无地铁
石灰堰117号,暂无,武昌/首义,未知年建成,无地铁
怡芳苑,暂无,武昌/杨园,未知年建成,无地铁
首义师苑,28689,武昌/首义,未知年建成,近地铁4号线复兴路站
彭刘杨路251号,暂无,武昌/首义,未知年建成,近地铁4号线复兴路站
津水闸,16127,武昌/首义,未知年建成,无地铁
中南新苑西区,暂无,武昌/中南丁字桥,未知年建成,无地铁
湖北省科学技术厅住宅小区,暂无,武昌/水果湖,未知年建成,无地铁
锦绣园九号楼,暂无,武昌/杨园,未知年建成,无地铁
中高家湾31号,暂无,武昌/中北路,未知年建成,近地铁4号线青鱼嘴站
老车站路74号,暂无,武昌/首义,未知年建成,无地铁
梅苑路10号,暂无,武昌/武昌火车站,未知年建成,近地铁4号线梅苑小区站
拾光里,暂无,武昌/积玉桥,未知年建成,无地铁
姚家岭52到53号,暂无,武昌/楚河汉街,未知年建成,无地铁
湖北省妇幼保健院,暂无,武昌/中南丁字桥,未知年建成,无地铁
水果湖路1号,暂无,武昌/水果湖,未知年建成,无地铁
洪山路47号,暂无,武昌/水果湖,未知年建成,无地铁
首义三巷17号,暂无,武昌/首义,未知年建成,近地铁4号线首义路站
省科协宿舍,暂无,武昌/中北路,未知年建成,无地铁
三角花园四美塘小区,暂无,武昌/徐东,未知年建成,无地铁
黄鹂路市政宿舍,暂无,武昌/东湖东亭,未知年建成,无地铁
华康里小区,暂无,武昌/积玉桥,未知年建成,无地铁
大陶家巷30号,暂无,武昌/首义,未知年建成,无地铁
欧景苑一期,18765,武昌/杨园,2003年建成,无地铁
中银小区,18579,武昌/杨园,2003年建成,无地铁
锦绣中北,22412,武昌/中北路,2009年建成,近地铁4号线青鱼嘴站
杨园柴林头西区,19587,武昌/杨园,1994年建成,无地铁
湖大琴园,暂无,武昌/沙湖,2010年建成,无地铁
沙湖公馆,24709,武昌/沙湖,2012年建成,无地铁
虹琦花园,17576,武昌/杨园,2003年建成,无地铁
福星惠誉水岸国际,13517,武昌/积玉桥,2010年建成,无地铁
省临床检验中心宿舍,15483,武昌/武昌火车站,2000年建成,无地铁
国棉宿舍,暂无,武昌/杨园,1997年建成,无地铁
锦江国际城,33496,武昌/积玉桥,2005年建成,近地铁2号线积玉桥站
纺织设计院宿舍,17165,武昌/东湖东亭,2000年建成,近地铁4号线岳家嘴站
红岭花苑小区,暂无,武昌/楚河汉街,1997年建成,近地铁4号线楚河汉街站
马碲营,13672,武昌/积玉桥,1997年建成,近地铁2号线螃蟹岬站
汇文新都A区,13707,武昌/首义,2004年建成,无地铁
福星苑,9165,武昌/首义,2004年建成,近地铁4号线复兴路站
得胜桥社区,暂无,武昌/积玉桥,2002年建成,近地铁2号线积玉桥站
泰昌公寓,28112,武昌/首义,2003年建成,无地铁
紫阳东路栅栏口,暂无,武昌/白沙洲,未知年建成,无地铁
金沙阁,暂无,武昌/中南丁字桥,1998年建成,无地铁
太阳岛花园,18404,武昌/中南丁字桥,2000年建成,近地铁2号线小龟山站
华润置地凤凰城,30446,武昌/积玉桥,2006年建成,近地铁2号线积玉桥站
积玉桥中山社区,22237,武昌/积玉桥,1999年建成,近地铁2号线积玉桥站
蓝湾俊园,24653,武昌/积玉桥,2002年建成,近地铁2号线积玉桥站
涂家沟,14070,武昌/白沙洲,未知年建成,无地铁
千家街,暂无,武昌/首义,2000年建成,近地铁4号线武昌火车站站
中山路社区老旧物业,暂无,武昌/首义,未知年建成,近地铁4号线武昌火车站站
首义小区,19009,武昌/首义,1994年建成,近地铁4号线复兴路站
金湖公寓,22746,武昌/中南丁字桥,2008年建成,近地铁2号线小龟山站
中南一路66号,暂无,武昌/中南丁字桥,1996年建成,近地铁2号线中南路站
武铁佳苑,暂无,武昌/徐东,2007年建成,近地铁8号线徐东站
新世纪花园A区,18445,武昌/徐东,2002年建成,近地铁8号线汪家墩站
平湖门,暂无,武昌/首义,1996年建成,无地铁
融海杰座,22809,武昌/团结大道,2012年建成,近地铁8号线汪家墩站
九阳轩,18749,武昌/团结大道,2004年建成,无地铁
楚天丽园,25470,武昌/东湖东亭,1998年建成,近地铁8号线梨园站
复地东湖国际一期,41210,武昌/中北路,2010年建成,近地铁4号线青鱼嘴站
万利广场,21367,武昌/徐东,2007年建成,近地铁8号线徐东站
兆丰苑,17983,武昌/杨园,1999年建成,近地铁8号线汪家墩站
徐东村小区,19174,武昌/徐东,1998年建成,近地铁8号线徐东站
弘业俊园,16985,武昌/中南丁字桥,2002年建成,无地铁
99号公寓,17309,武昌/中南丁字桥,2006年建成,无地铁
银海花园南区,17666,武昌/武昌火车站,1999年建成,无地铁
新闻出版局宿舍,21372,武昌/东湖东亭,2000年建成,近地铁4号线东亭站
公安局宿舍,暂无,武昌/东湖东亭,未知年建成,近地铁8号线梨园站
绿地国际金融城二期,34257,武昌/积玉桥,2013年建成,无地铁
天佳大城小院二期,暂无,武昌/杨园,2013年建成,无地铁
帝斯曼国际中心,暂无,武昌/中南丁字桥,2016年建成,无地铁
鹏程时代,20547,武昌/中南丁字桥,2004年建成,近地铁2号线中南路站
福星惠誉水岸国际澜桥公馆二期,暂无,武昌/积玉桥,2015年建成,无地铁
紫沙金苑,24921,武昌/中南丁字桥,2016年建成,近地铁2号线小龟山站
清江花园,23170,武昌/中南丁字桥,2005年建成,近地铁2号线中南路站
欣隆紫阳苑,28460,武昌/首义,2008年建成,近地铁4号线首义路站
中南电力设计院生活一区,23544,武昌/中南丁字桥,1991年建成,近地铁2号线中南路站
紫金苑,21724,武昌/徐东,2005年建成,近地铁8号线汪家墩站
洪山花园,20917,武昌/中南丁字桥,2001年建成,近地铁2号线洪山广场站
红军村,32823,武昌/水果湖,1992年建成,近地铁4号线楚河汉街站
紫沙路53号,19027,武昌/中南丁字桥,1998年建成,近地铁2号线小龟山站
武汉铁路大东门住宅小区,18835,武昌/武昌火车站,1998年建成,近地铁4号线武昌火车站站
东亭计生委宿舍,暂无,武昌/东湖东亭,1994年建成,近地铁2号线洪山广场站
东湖宾馆宿舍,26689,武昌/中北路,1997年建成,无地铁
汉成里社区,暂无,武昌/积玉桥,2000年建成,近地铁2号线积玉桥站
桃山村,暂无,武昌/水果湖,2006年建成,无地铁
广电花园,20281,武昌/楚河汉街,2005年建成,近地铁2号线螃蟹岬站
南院小区,暂无,武昌/中南丁字桥,未知年建成,近地铁2号线宝通寺站
小东门电子小区,暂无,武昌/中南丁字桥,1999年建成,近地铁2号线小龟山站
武南三村,暂无,武昌/武昌火车站,1995年建成,近地铁4号线武昌火车站站
黄鹤世家,20832,武昌/首义,2004年建成,无地铁
北坡山庄,26422,武昌/水果湖,1998年建成,无地铁
樱花大厦,15168,武昌/中南丁字桥,2000年建成,近地铁2号线街道口站
荣发小区,18115,武昌/武昌火车站,1995年建成,近地铁4号线武昌火车站站
大东门公寓,17386,武昌/武昌火车站,2005年建成,近地铁4号线首义路站
银海山庄,26925,武昌/水果湖,2001年建成,无地铁
水果湖43号,31785,武昌/水果湖,2005年建成,无地铁
何家垅社区,暂无,武昌/中南丁字桥,未知年建成,近地铁2号线洪山广场站
湖北省统计局宿舍,暂无,武昌/水果湖,1999年建成,近地铁2号线洪山广场站
涵三宫小区,17680,武昌/积玉桥,1998年建成,近地铁2号线螃蟹岬站
茶港军转小区,25461,武昌/街道口,2003年建成,无地铁
首义四巷,暂无,武昌/首义,1995年建成,近地铁4号线首义路站
保利城SOHO中心,15653,武昌/团结大道,2017年建成,近地铁8号线汪家墩站
水果湖供暖小区,31670,武昌/水果湖,未知年建成,无地铁
