楼盘名称,房价(元/平方米),楼盘位置,建成年份,附近地铁站
崇仁小路201号,暂无,硚口/集贤,未知年建成,无地铁
硕实馨园,暂无,硚口/长丰常码头,未知年建成,无地铁
硚口英才公寓,暂无,硚口/古田,未知年建成,无地铁
荣冠花园,暂无,硚口/宗关,未知年建成,无地铁
华生汉口城市广场,14515,硚口/长丰常码头,2011年建成,无地铁
公安小区,14988,硚口/古田,1999年建成,无地铁
盛世邻里,15012,硚口/古田,2014年建成,无地铁
景明花园,暂无,硚口/长丰常码头,2004年建成,无地铁
天顺南社区园中园还建楼,17208,硚口/长丰常码头,2003年建成,无地铁
家安小区,暂无,硚口/吴家山,1997年建成,近地铁1号线舵落口站
军缘楼,暂无,硚口/古田,2003年建成,无地铁
正康花园,14707,硚口/古田,2006年建成,近地铁1号线古田二路站
东源小区,18168,硚口/古田,2001年建成,近地铁1号线汉西一路站
古田帝园,17938,硚口/古田,2010年建成,近地铁1号线古田四路站
弘鑫花园,12746,硚口/古田,2004年建成,近地铁1号线古田四路站
轻型汽车厂宿舍,暂无,硚口/古田,2008年建成,近地铁1号线汉西一路站
香港映象,21240,硚口/古田,2006年建成,近地铁1号线古田四路站
中民长青里,18845,硚口/古田,2013年建成,近地铁1号线古田四路站
宝丰路23号,17458,硚口/宝丰崇仁,未知年建成,近地铁1号线硚口路站
景明花园,暂无,硚口/长丰常码头,2004年建成,无地铁
天顺南社区园中园还建楼,17208,硚口/长丰常码头,2003年建成,无地铁
天顺园十村,13933,硚口/长丰常码头,2001年建成,无地铁
天顺园四村,12641,硚口/长丰常码头,2001年建成,无地铁
解放社区,20752,硚口/宝丰崇仁,1995年建成,近地铁1号线硚口路站
三院路3号,暂无,硚口/古田,未知年建成,无地铁
汉中社区,15132,硚口/集贤,1996年建成,近地铁6号线武胜路站
江山如画一期,23612,硚口/集贤,2005年建成,近地铁6号线武胜路站
汉中西路120号,暂无,硚口/宝丰崇仁,1998年建成,近地铁1号线硚口路站
华生汉口城市广场北区,14788,硚口/长丰常码头,2011年建成,无地铁
弘鑫商住楼,17318,硚口/古田,未知年建成,近地铁1号线古田三路站
保利香槟国际,24332,硚口/宗关,2012年建成,近地铁1号线汉西一路站
游艺村,13145,硚口/汉正街,1990年建成,近地铁6号线汉正街站
建设大道41到43号,暂无,硚口/宗关,未知年建成,近地铁1号线宗关站
东辉花园,21359,硚口/宝丰崇仁,2004年建成,近地铁1号线硚口路站
航天星苑,18166,硚口/宝丰崇仁,2004年建成,近地铁1号线硚口路站
燧华里,14111,硚口/宝丰崇仁,未知年建成,近地铁1号线硚口路站
鑫海花园,21602,硚口/宝丰崇仁,2003年建成,近地铁1号线太平洋站
汉华家园,19456,硚口/集贤,1997年建成,近地铁6号线武胜路站
圣锦苑,23763,硚口/集贤,2004年建成,近地铁6号线武胜路站
鑫海花园,21602,硚口/宝丰崇仁,2003年建成,近地铁1号线太平洋站
游艺村,13145,硚口/汉正街,1990年建成,近地铁6号线汉正街站
空军世纪花园,20919,硚口/宝丰崇仁,2002年建成,无地铁
凌云社区,暂无,硚口/宝丰崇仁,未知年建成,无地铁
宝康苑,21915,硚口/集贤,2006年建成,近地铁1号线崇仁路站
利北二村,22223,硚口/集贤,1993年建成,近地铁1号线崇仁路站
宝丰二路18号,暂无,硚口/宝丰崇仁,未知年建成,无地铁
宝丰街公路社区,22082,硚口/宝丰崇仁,未知年建成,无地铁
江山如画二期,25580,硚口/集贤,2004年建成,近地铁6号线武胜路站
葛洲坝城市花园,28714,硚口/宝丰崇仁,2016年建成,近地铁1号线硚口路站
百姓之春,15060,硚口/古田,2006年建成,无地铁
营房南村,17393,硚口/宝丰崇仁,1993年建成,无地铁
仁寿雅居,暂无,硚口/宝丰崇仁,2004年建成,近地铁1号线太平洋站
解放大道389号,18074,硚口/宗关,未知年建成,无地铁
地质村,21871,硚口/集贤,1998年建成,近地铁6号线武胜路站
江山如画汉玺,33100,硚口/集贤,2017年建成,近地铁6号线武胜路站
天星苑,暂无,硚口/宝丰崇仁,未知年建成,无地铁
崇仁路112到114号,20208,硚口/集贤,未知年建成,近地铁1号线崇仁路站
宝丰一路48号,暂无,硚口/宝丰崇仁,未知年建成,无地铁
君奕国际公馆,暂无,硚口/古田,2016年建成,无地铁
中山大道230附3号到230附4号,暂无,硚口/集贤,未知年建成,无地铁
红星铝制品厂,18285,硚口/宝丰崇仁,未知年建成,无地铁
汉正小区,暂无,硚口/宝丰崇仁,1997年建成,无地铁
水厂社区,暂无,硚口/宗关,未知年建成,近地铁3号线宗关站
金正茂中国服装商贸城,19302,硚口/汉正街,2015年建成,无地铁
永利新城东苑,暂无,硚口/古田,未知年建成,无地铁
汉西铁路住宅小区,15494,硚口/宗关,未知年建成,近地铁3号线双墩站
远景大厦,19700,硚口/宗关,未知年建成,近地铁1号线汉西一路站
解放大道248号,18352,硚口/宗关,未知年建成,近地铁1号线宗关站
常码社区,暂无,硚口/长丰常码头,未知年建成,无地铁
三五零六G栋小区,暂无,硚口/集贤,未知年建成,无地铁
同济1小区,暂无,硚口/宝丰崇仁,未知年建成,近地铁2号线青年路站
古一社区港机小区,暂无,硚口/古田,1995年建成,近地铁1号线古田一路站
武柴宿舍,暂无,硚口/古田,2000年建成,近地铁1号线汉西一路站
崇仁小路199号,暂无,硚口/集贤,未知年建成,无地铁
宝丰二村48号,暂无,硚口/集贤,未知年建成,无地铁
卉竹苑,暂无,硚口/长丰常码头,2000年建成,无地铁
梅艳新村,15049,硚口/古田,2007年建成,无地铁
古田四路17号,暂无,硚口/古田,1990年建成,近地铁1号线古田四路站
银舵新都,14109,硚口/吴家山,2009年建成,近地铁1号线舵落口站
云彩大厦,16194,硚口/古田,2006年建成,近地铁1号线古田二路站
云鹤小区,14434,硚口/宗关,1997年建成,无地铁
天顺园六村,12672,硚口/长丰常码头,2001年建成,无地铁
武汉航天城,15881,硚口/古田,2000年建成,无地铁
正康社区,13436,硚口/古田,1997年建成,近地铁1号线古田二路站
滨江军苑,暂无,硚口/古田,2003年建成,无地铁
紫薇花园,22530,硚口/古田,2004年建成,近地铁1号线古田四路站
汉水熙园,22823,硚口/古田,2005年建成,近地铁1号线汉西一路站
电车村,17112,硚口/集贤,1998年建成,近地铁1号线崇仁路站
安厦花园,15599,硚口/宗关,2005年建成,近地铁1号线宗关站
铁桥北村社区,暂无,硚口/宗关,未知年建成,近地铁1号线宗关站
沿河大道356号,暂无,硚口/宗关,未知年建成,近地铁1号线太平洋站
宗关水厂宿舍,15242,硚口/宗关,1997年建成,近地铁3号线宗关站
裕亚俊园,24314,硚口/宝丰崇仁,2013年建成,近地铁6号线武胜路站
玉带汇景苑,30990,硚口/宝丰崇仁,2006年建成,近地铁1号线崇仁路站
友谊社区,暂无,硚口/宝丰崇仁,2001年建成,近地铁1号线崇仁路站
兴隆小区,暂无,硚口/宝丰崇仁,2001年建成,近地铁1号线硚口路站
紫润明园南区,14104,硚口/长丰常码头,2010年建成,无地铁
博学仕府,22512,硚口/宗关,2006年建成,近地铁1号线汉西一路站
丽水康城,20538,硚口/宗关,2007年建成,近地铁3号线宗关站
